featureid	rab.all	rab.win.2.asymptomatic	rab.win.4.severe	diff.btw	diff.win	effect	overlap	we.ep	we.eBH	wi.ep	wi.eBH
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae	-1.24866200352915	-1.67477561937625	-0.751726709963474	1.11227082543497	6.48977797979413	0.15100498097239	0.414062512511275	0.329925439060692	0.58722109660891	0.46139249742906	0.694669579452895
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae	-0.940005682379697	-1.30959059790693	-0.605562908387006	0.681253742230766	6.34441118101785	0.0874145031752662	0.452535767477595	0.565064712519922	0.782667530065402	0.510779359160492	0.745082199274508
k__Bacteria;p__Actinobacteria;c__Thermoleophilia;o__Solirubrobacterales;f__Patulibacteraceae	-1.69341658538499	-1.92047941571515	-1.45855702845536	0.444947798502543	4.27925188381508	0.105668408905191	0.443433037983615	0.50476043616633	0.709272462747608	0.483540754798663	0.703783890810553
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__	-1.03806615526682	-1.10186611793214	-0.992160381147433	-0.108181750790379	4.67696239306813	-0.0247030867951093	0.490247075497121	0.548926754920691	0.762954792891989	0.602631123886508	0.806800076748495
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae	-1.57756133353707	-1.55601908834324	-1.59386248307547	-0.0756685014231211	4.78315265156681	-0.011349235662159	0.496749025165552	0.489031952226597	0.713069002128327	0.515426224434208	0.733985689436809
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae	-0.0399397122424743	1.11185665315029	-0.739155191744958	-2.20107402421766	6.63045895906045	-0.326607887120267	0.329427110606824	0.204147722578461	0.452689336086042	0.247803974388558	0.505902740552863
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae	2.57659257324086	5.1911900611754	1.34573370317014	-3.39563878355091	7.81986598181293	-0.390170286699015	0.338541692133903	0.241708489432608	0.520080580925468	0.182986691493472	0.460305606235208
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Paraprevotellaceae]	-0.698446754506236	-0.721324981193658	-0.686669679857266	-0.176122961702114	6.00491453166458	-0.0201618844860886	0.487646295630087	0.610563538181756	0.813580134354246	0.616143654074609	0.820031945206386
k__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales;f__Cytophagaceae	-1.37743340610549	-1.44384644466128	-1.3240699438109	0.175057070565974	4.48340720570862	0.0303484785644512	0.488281251656594	0.502737805189581	0.723664058703694	0.552936108653988	0.770650753859754
k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae	0.248609852045322	2.44177316261729	-0.922950281372933	-3.97894203346944	5.28567791930084	-0.661901374187746	0.219765987354877	0.0401010462091044	0.170961661836348	0.0200250317371565	0.118350815708079
k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__[Weeksellaceae]	9.99500154611634	2.33839543468845	12.184848409476	9.05509593704839	6.95928944614455	1.23281339825521	0.13541677665649	0.000364481452196894	0.0147576924179738	0.000628884863808811	0.0317084799413093
k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__Sphingobacteriaceae	-0.329030767611184	-0.559204343988926	-0.0819133568903343	0.856967486827809	4.87175982920761	0.16245192387776	0.420572928179032	0.548405623642357	0.757077208147485	0.525923977193706	0.761989696629922
k__Bacteria;p__Bacteroidetes;c__[Saprospirae];o__[Saprospirales];f__Chitinophagaceae	-1.71536145967481	-1.96088957334246	-1.48702420444613	0.532631958651167	4.05648767286419	0.100080229058351	0.440832258131106	0.513578438236623	0.733099498886399	0.532374518303185	0.746815755512778
k__Bacteria;p__Chlorobi;c__Ignavibacteria;o__Ignavibacteriales;f__	0.774289953191336	-1.77078538607409	4.26578110029077	5.37764804827588	5.41040604645028	0.882537993183799	0.18465547040726	0.0131144261787515	0.0825019235333274	0.00786170538156	0.0692641579996244
k__Bacteria;p__Cyanobacteria;c__Chloroplast;o__;f__	-1.53479424334964	-1.90673011201044	-1.28406952746202	0.811801467305588	4.48688564971635	0.165116503422969	0.415364595643774	0.430964701865712	0.657810790392869	0.427553401700116	0.649496022626063
k__Bacteria;p__Cyanobacteria;c__Chloroplast;o__Stramenopiles;f__	-1.55287892398252	-1.88536982821048	-1.24068852518267	0.800390254782235	4.40167249613142	0.157228368102914	0.413524069778915	0.460802041784686	0.689391634429136	0.454943899573266	0.679373935920115
k__Bacteria;p__Cyanobacteria;c__Chloroplast;o__Streptophyta;f__	1.07472855075179	5.69950999779752	-0.669679134144678	-5.26879646785576	7.07029999921291	-0.666615419804133	0.263020876515122	0.0496598309042311	0.202854545332494	0.0469371687095304	0.211437669013933
k__Bacteria;p__Cyanobacteria;c__Synechococcophycideae;o__Pseudanabaenales;f__Pseudanabaenaceae	-1.69064259821508	-1.921361383151	-1.4484370745118	0.641304151345812	4.73622269702231	0.129867218619482	0.434895842690214	0.504065385826294	0.72133894642581	0.515614696158637	0.732230729575243
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae	8.50911132780212	0.125787700817757	10.9509493643132	9.63091035706433	7.9280888309402	1.05794554773089	0.158854256845635	0.00118886826506644	0.023471651917013	0.00178890330702486	0.0373397583538143
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Listeriaceae	-1.29478411443395	-1.07086600758585	-1.4581588268056	-0.663653248193678	5.91308760518602	-0.105103843961749	0.44993498762065	0.602572897537668	0.800007822391631	0.544973252899118	0.773747809276056
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Planococcaceae	0.60247688192049	5.96022155875446	-0.469692299775003	-4.80177825973156	7.16646455650114	-0.598339136145142	0.272135457299492	0.0615465917679204	0.239700820189419	0.0515361991772007	0.219541935772876
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae	9.4356457788476	10.8405010515406	8.66549170551775	-2.73162593533521	5.17821219375203	-0.460594401965887	0.280884303496267	0.0345257585037109	0.196526697348158	0.0508501805492484	0.242119278055285
k__Bacteria;p__Firmicutes;c__Bacilli;o__Gemellales;f__Gemellaceae	0.24925754905321	1.59513105536913	-0.64917512568403	-2.63068822422041	6.27763752732865	-0.403790904923095	0.313802113875901	0.177736808226112	0.417831011351762	0.169844283207034	0.41786771570918
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__	-1.39917999311704	-1.14619241793591	-1.5806478503223	-0.399917046733901	5.28467985681135	-0.0625354825131332	0.467447921285364	0.599631519835818	0.80279812252493	0.569256463733765	0.792769181714134
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Aerococcaceae	4.03233288458587	4.60288095027357	3.58522792894231	-0.81598571957125	9.4797122352993	-0.0880375229657791	0.463541671845216	0.717862912217208	0.883843496642063	0.784055568077433	0.932931694608881
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae	0.14200014621056	1.53786064041845	-0.607725603470972	-3.1891929234482	6.35323766589499	-0.442982821123291	0.322496777645081	0.151006338653978	0.372768761337629	0.174606567528731	0.412351193136122
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae	9.10460511622522	-1.40387040027228	11.1140696515199	11.843017769755	8.3514932218752	1.04393001905473	0.167968833916247	0.000906356922497626	0.0189835339701936	0.00267281383010283	0.0433241858476679
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae	5.14239894713057	7.58097633981423	2.85805646077139	-4.02846291421973	7.09931410037159	-0.530220334996581	0.278645872230903	0.0916894148495615	0.307472933389221	0.0506805209175145	0.236434908912684
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Leuconostocaceae	-1.4339775202101	-1.32674982342919	-1.48989183804597	-0.335463941602208	5.72970744495069	-0.0588702542125343	0.470741226503959	0.548284501274767	0.766684011474245	0.575010823360618	0.786091016727628
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae	9.3874645056786	11.0307207273425	8.08576931475303	-2.73397600899873	4.96319418011219	-0.431340174168965	0.308192489430374	0.0333818813680015	0.194834122487008	0.0999448153960874	0.354217670142069
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__	-0.785676645847874	-0.699755540208655	-0.811879557197776	-0.233197939079085	6.67256293267838	-0.032439211078462	0.481144345963873	0.680837359985556	0.852222800544172	0.638648801912069	0.838930941678093
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae	8.35586024189902	-1.66025755346403	9.72201944602373	11.038225954643	7.68601215364392	1.11536236398718	0.152343845091266	0.000454140826862578	0.0158611421121216	0.00165565573468723	0.0367657952650996
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae	-0.0253944266735413	0.585254267183524	-0.297928586096633	-1.0361388858266	6.82602059886129	-0.126129669189062	0.452535767477595	0.622886618333242	0.815863925121223	0.618189445914199	0.823027151849214
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptococcaceae	-1.71580571455256	-1.59575388979887	-1.77354568682862	-0.13321946502624	4.99919326019173	-0.0239024056857682	0.486979168507563	0.49864006657593	0.723648422113575	0.525230080260409	0.748173647381057
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptostreptococcaceae	-0.913896772766673	-0.832031454645863	-0.991270207823578	-0.137241005801674	5.18737939582467	-0.0244585257839267	0.484375002209736	0.596695597916538	0.794450329240763	0.617238846119331	0.822080632240152
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae	-1.43978812209904	-1.80133941567373	-1.1114488183921	0.977111013470653	4.92564256601009	0.193270786577901	0.399219780732907	0.395206425949782	0.628017989961914	0.436229525291605	0.668632376380437
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae	6.64462961073703	6.89958169246909	6.33705037708803	-0.290082588552478	6.15443804547712	-0.0486492356421805	0.477864586466877	0.827662285029641	0.930199532111903	0.909348444168491	0.975346649646128
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__[Mogibacteriaceae]	-1.15566969634149	-1.15858645223168	-1.15307941587279	-0.00386573142813695	5.36336871550037	-0.00152487737622952	0.499349805033107	0.578504418988457	0.788053071526809	0.567105413646419	0.788344156744572
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__[Tissierellaceae]	6.48310038974404	7.53351729091588	4.59008387113054	-2.91047594595944	6.0180481436903	-0.415468487958634	0.315104196927745	0.128734455705566	0.388929046432658	0.129301536227939	0.39996243967531
k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae	-1.10640599010716	-1.09182852275053	-1.11244300522969	-0.00114677806018815	5.60516814558186	-0.000131634127452352	0.5	0.646816420381238	0.834221088730486	0.630600406528568	0.843353177227234
k__Bacteria;p__Fusobacteria;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae	1.07468371207624	2.17710121424973	0.629581000410648	-2.00562773844444	7.17592507290378	-0.239443353683338	0.373211982683555	0.325245375713483	0.597825729130469	0.346524732568026	0.620747605894147
k__Bacteria;p__Fusobacteria;c__Fusobacteriia;o__Fusobacteriales;f__Leptotrichiaceae	-0.0421060053335758	0.95058699263874	-0.66289636004405	-2.2380415071774	6.82056410289297	-0.299556232767784	0.359375021574801	0.237841971882898	0.501459388411461	0.266282997459384	0.526124519372333
