featureid	rab.all	rab.win.1.negative	rab.win.4.severe	diff.btw	diff.win	effect	overlap	we.ep	we.eBH	wi.ep	wi.eBH
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Geodermatophilaceae	-1.47265904554275	-1.74880408390953	-0.901452879118608	0.977284637371249	4.42679144413302	0.194362019432146	0.403320320481832	0.422390124806895	0.53857011487729	0.429848670403209	0.54017884930079
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Gordoniaceae	-1.55840152095847	-1.77574476112866	-1.1929784417766	0.610547021037052	4.35880273656301	0.130531389548366	0.437073175803256	0.453369208173946	0.590705166390338	0.470579675925827	0.600535449199455
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Intrasporangiaceae	-1.38965877377331	-1.66211230617474	-0.955831239889111	0.616152831972543	4.56114350297635	0.109012909626393	0.440975614503948	0.497062110540568	0.608673645415984	0.451321973687263	0.570806654395672
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Kineosporiaceae	-1.59692222772083	-1.9785942248629	-0.952221651746893	1.07347622858575	4.48435915462233	0.211222879686265	0.395507821183539	0.386873599514686	0.504296316976731	0.333327890758566	0.446723094006721
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae	-0.642468634512808	-1.25009909658115	0.785946578896483	2.14788131074495	5.79563813693419	0.326254928131706	0.353170744452589	0.207055704063806	0.32321554323706	0.165705577173057	0.277901121916857
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae	6.98978137008137	8.3871088031675	0.120842835491574	-8.1091191473192	5.1632135409305	-1.31681334018811	0.101562586755334	2.26676822457878e-05	0.000146325032216205	4.79704873874707e-06	3.93786805777509e-05
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micromonosporaceae	-1.62680232963589	-1.78031267349247	-1.34525157188947	0.492961679312749	4.21337610657819	0.10144987460749	0.446289066818392	0.45951561264088	0.585870758842689	0.459217446604558	0.584653122508081
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Nocardiaceae	-1.59712461121547	-1.98741060216331	-0.889837336180774	0.974897763833505	4.26239412172794	0.185818485394405	0.394531258772216	0.317383351138045	0.443615728985499	0.302142261917386	0.425093913840993
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Nocardioidaceae	-1.33554480154606	-1.76754795606268	-0.585858413843498	1.28388654284633	4.78144532293617	0.23990993907939	0.371707327966224	0.341450569891921	0.45282175177686	0.311858391821546	0.421954108222607
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Promicromonosporaceae	-1.55112956190829	-1.73744037242276	-1.26900306169525	0.465619802549644	4.48540337078055	0.082739456866913	0.452682930616271	0.485489694516784	0.619215540199943	0.509818940187873	0.629807017059561
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Propionibacteriaceae	0.588284999963061	-0.50155530348749	3.19816565367839	3.0567529688179	7.98638269738638	0.354829298352098	0.348292696180019	0.127778411297274	0.245034910117825	0.12637872079026	0.243182812100238
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Pseudonocardiaceae	-1.52961128033321	-1.89854472485754	-0.987761558214862	0.881473361765304	4.66902259205167	0.157959522618541	0.420487811348411	0.406925611032672	0.520597109253741	0.40079667527631	0.508259543374389
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Sporichthyaceae	-1.44223649839515	-1.77168401264503	-0.946060846869127	0.844466186835231	4.56185421363989	0.178898260595462	0.412682933972931	0.366949160248707	0.498557078017374	0.405192706010027	0.524678377675429
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Streptomycetaceae	-1.62275134742658	-1.75178898412454	-1.3705379796537	0.546126236385867	4.37492718784213	0.109943562287619	0.453125003758321	0.471623317475118	0.601374557929627	0.463228355195751	0.588540227845638
