featureid	rab.all	rab.win.1.negative	rab.win.4.severe	diff.btw	diff.win	effect	overlap	we.ep	we.eBH	wi.ep	wi.eBH
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__Sphingobacteriaceae	-0.904079886738742	-1.54357707801493	0.51982133017077	2.42972613118465	5.15406147504954	0.411049114512884	0.326171890713866	0.18757575792226	0.288430103197946	0.12781319309895	0.219237371479933
k__Bacteria;p__Bacteroidetes;c__[Saprospirae];o__[Saprospirales];f__Chitinophagaceae	-1.46679475135052	-1.79272160627698	-0.891134287090786	0.941915328089401	4.30068520073105	0.188599218954615	0.401951227600232	0.361621926356473	0.480629203181548	0.383153418855503	0.488776053183184
k__Bacteria;p__Chlorobi;c__Ignavibacteria;o__Ignavibacteriales;f__	-0.403037331184861	-1.68269332973342	4.78074876174147	6.05143216351635	5.39163932154522	1.04347576639081	0.143414691704859	0.00268316045238308	0.00767485538212594	0.00033245735462112	0.00142106647094753
k__Bacteria;p__Chloroflexi;c__Ellin6529;o__;f__	-1.61129835448641	-1.84930363753728	-1.26168683808049	0.606388118264927	4.43454811522607	0.137795118354122	0.426757818448403	0.421517873001064	0.543018639933662	0.410341512824532	0.524045262878888
k__Bacteria;p__Cyanobacteria;c__;o__;f__	-1.57652440607197	-1.75128738353965	-1.2429327039458	0.435560370082848	4.3595120924901	0.0787883097983448	0.457560979000355	0.464527367706908	0.584272632280531	0.466172551541892	0.580162483749965
k__Bacteria;p__Cyanobacteria;c__Chloroplast;o__;f__	-1.62502875305541	-2.06179340789162	-0.899575622952175	1.21108890048536	4.48111080158292	0.236312017251694	0.376585376277723	0.318692553957637	0.429276765760718	0.296433567799681	0.408083104658827
k__Bacteria;p__Cyanobacteria;c__Chloroplast;o__Stramenopiles;f__	-1.68868259433583	-2.14555222449672	-0.862629544935509	1.42154684849786	4.4947502728948	0.279837311452817	0.361328136938988	0.289768066450904	0.403941803882304	0.256962613341181	0.363441837508822
k__Bacteria;p__Cyanobacteria;c__Chloroplast;o__Streptophyta;f__	-0.27014237254272	-0.355289834973774	-0.1497928581114	-0.0924479235928999	8.02214114490854	-0.0111434267569163	0.49609375031046	0.697125840828907	0.807365155258987	0.674370118658386	0.775279914580765
k__Bacteria;p__Cyanobacteria;c__Nostocophycideae;o__Nostocales;f__Nostocaceae	-1.63824365698626	-1.83817871003111	-1.2697579390912	0.616483705203677	4.43625210352373	0.129048315570019	0.443359379559906	0.45284891186824	0.574199715948866	0.4662744098962	0.586347056646149
k__Bacteria;p__Cyanobacteria;c__Synechococcophycideae;o__Pseudanabaenales;f__Pseudanabaenaceae	-1.48135001653996	-1.88461503019114	-0.787536293963507	1.20006000334232	4.73054848541728	0.219154174367973	0.377929697816164	0.304058873149163	0.424088080213908	0.280198778433623	0.388918598602478
