Percentile	0.0	25.0	50.0	75.0	100.0	0.0	25.0	50.0	75.0	100.0	0.0	25.0	50.0	75.0	100.0
Group	1.negative	1.negative	1.negative	1.negative	1.negative	2.asymptomatic	2.asymptomatic	2.asymptomatic	2.asymptomatic	2.asymptomatic	asymptomatic recovery phase	asymptomatic recovery phase	asymptomatic recovery phase	asymptomatic recovery phase	asymptomatic recovery phase
k__Bacteria;p__Chloroflexi;c__Ellin6529;o__;f__	1.0	1.0	1.0	1.0	18.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
k__Bacteria;p__Cyanobacteria;c__;o__;f__	1.0	1.0	1.0	1.0	19.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
k__Bacteria;p__Cyanobacteria;c__Chloroplast;o__Streptophyta;f__	1.0	1.0	1.0	9.0	3106.0	1.0	7.0	38.0	176.5	468.0	1.0	1.0	1.0	1.0	1.0
k__Bacteria;p__Cyanobacteria;c__Nostocophycideae;o__Nostocales;f__Nostocaceae	1.0	1.0	1.0	1.0	48.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
k__Bacteria;p__Cyanobacteria;c__Synechococcophycideae;o__Pseudanabaenales;f__Pseudanabaenaceae	1.0	1.0	1.0	1.0	5.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__	1.0	1.0	1.0	1.0	81.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae	1.0	1.0	1.0	15.75	1745.0	1.0	1.0	1.0	11.25	2769.0	1.0	1.0	1.0	1.0	1.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Listeriaceae	1.0	1.0	1.0	1.0	363.0	1.0	1.0	1.0	2.5	12.0	1.0	1.0	1.0	1.0	1.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Paenibacillaceae	1.0	1.0	1.0	1.0	324.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Planococcaceae	1.0	1.0	76.5	151.0	471.0	1.0	1.0	103.5	202.5	2192.0	1.0	32.0	95.0	212.0	310.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae	1.0	1.0	49.5	151.5	88173.0	61.0	445.0	2071.5	11224.75	19948.0	1.0	24.5	65.0	145.0	376.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__[Exiguobacteraceae]	1.0	1.0	1.0	1.0	95.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Gemellales;f__	1.0	1.0	1.0	1.0	9.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Gemellales;f__Gemellaceae	1.0	34.25	86.0	177.5	646.0	1.0	1.0	3.5	78.5	429.0	19.0	54.5	417.0	752.0	1175.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__	1.0	1.0	1.0	1.0	67.0	1.0	1.0	1.0	1.0	18.0	1.0	1.0	1.0	1.0	1.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Aerococcaceae	1.0	1.0	16.0	58.5	890.0	1.0	1.0	38.5	440.25	19131.0	1.0	28.0	64.0	102.5	3143.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae	1.0	136.5	304.0	445.75	1050.0	1.0	1.0	3.0	124.25	545.0	34.0	160.5	289.0	403.0	649.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae	1.0	1.0	1.0	21.25	867.0	1.0	1.0	1.0	1.0	3150.0	1.0	1.0	1.0	1.0	1.0
