Feature.ID	AS-01	AS-02	AS-03	AS-04	AS-05	AS-06	AS-07	AS-08	AS-09	AS-10	AS-11	AS-12	AS-13	AS-14	AS-15	AS-16	AS-17	AS-18	AS-19	MI-01	MI-02	MI-03	MI-04	MI-05	MI-06	MI-07	MI-08	MI-09	MI-10	MI-11	MI-12	MI-13	MI-14	MI-15	MI-16	NE-01	NE-02	NE-03	NE-04	NE-05	NE-06	NE-07	NE-08	NE-09	NE-10	NE-11	NE-12	NE-13	NE-14	NE-15	NE-16	NE-17	NE-18	NE-19	NE-20	NE-21	NE-22	NE-23	NE-24	NE-25	NE-26	SE-01	SE-02	SE-03	SE-05	SE-06	SE-07	SE-09	SE-10	SE-11	SE-12	SE-13	SE-14	SE-16	SE-17	SE-18	SE-19
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae	1.25	0	0.29	0.01	1.84	0.13	0	0	0	0	0	0.15	0.25	0	0	0	0	0	0	0	0	0	0.01	0.07	0	0.05	0	0	0	0	0.03	0	0.27	0	0.01	0.24	1.14	0.03	0.03	0.06	3.43	0.12	2.03	0	0.52	0.06	0.95	2.41	0.02	0	0.48	3.2	0.59	0.36	1.4	0.55	0.35	1.25	0.12	0	0.01	0.06	0	0	0	0	0	0.05	0	0	0	0	0	0	0	0	7.94
k__Bacteria;p__Actinobacteria;c__Rubrobacteria;o__Rubrobacterales;f__Rubrobacteraceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0.01	0	0	0.11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Thermoleophilia;o__Gaiellales;f__Gaiellaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Thermoleophilia;o__Solirubrobacterales;f__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Thermoleophilia;o__Solirubrobacterales;f__Patulibacteraceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Thermoleophilia;o__Solirubrobacterales;f__Solirubrobacteraceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Armatimonadetes;c__Armatimonadia;o__Armatimonadales;f__Armatimonadaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__	0.66	0.05	0.09	0.06	0.15	0.19	0	0.05	0	0	0	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0.03	0	0.13	0	0	0.13	0.11	0.18	0.41	0.14	0	0	0.05	1.02	0	0	0.03	0.13	0.01	0	0	0	0	0	0.67	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae	0.01	0	0	0	0.06	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0.34	0	0	0	0	0	0	0	0	0	0.01	0	0.03	0	0.03	0	0	0	0	0	0	0	0.02	0.1	0	0	0	0	0.13	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0.55	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae	1.01	7.8	0.45	15.15	0.58	1.4	8.73	4.79	0	0.01	0.92	6.86	0	0.05	0	0.01	0	0	0	0	0.03	0.07	0.02	0	0.06	1.13	0	0.01	1.14	0	0	0	0.58	0	0	3.23	0.92	4.81	2.37	4.51	0.38	6.77	0.97	6.99	0.93	2.59	0.08	1.16	5.34	0.79	3.42	1.26	3.8	1.35	5.44	0.02	0.01	4.88	23.38	0	0.97	0.04	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0.13
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae	33.12	10.41	33.47	2.84	31.46	15.6	5.1	2.64	0.09	2.54	0.22	14.94	1.05	0.09	0	0.02	0	0	0	0	0.02	0.08	1.27	0.83	0.06	2.81	0	0.23	3.2	0.04	0.19	0	1.37	0	0.62	29.33	27.51	13.13	6.96	12.44	29.46	19.04	42.97	10.39	26.62	24.46	6.09	29.93	4.53	1.53	15.53	25.64	18.6	25.45	18.11	0.44	0.53	15.36	29.04	0	17.55	0.3	0.12	0	0	0	0.08	0	0.02	0	0.01	0	0.05	0	0	0	24.74
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Barnesiellaceae]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Odoribacteraceae]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0.07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Paraprevotellaceae]	6.17	6.74	5.16	1.9	2.76	0.62	4.09	0	0	0	0.23	8.7	0	0	0	0.01	0	0	0	0.04	0	0	0.03	0.35	0.02	3.56	0	0.02	0	0	0	0	0.15	0	0	1.71	4.03	2.7	1.96	3.12	4.89	3.79	2.42	7.5	6.42	2.36	0.02	2.89	2.89	0	5.76	3.99	7.41	7.33	7.51	0	0.35	2.39	3.09	0	2.04	0.06	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0.06
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__p-2534-18B5	0	0	0	0	0.11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales;f__Cytophagaceae	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05	0	0	0	0	0.04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae	0.96	1.5	0	2.02	0.33	0.13	4.39	0.57	0.01	0.12	0.57	1.28	0	0.02	0	0.02	0.01	0	0	0.01	0.01	0	0.09	0.01	0.02	0.23	0	0	0	0	0	0	0.02	0	0	0.55	0.18	1.29	6.29	5.68	0.45	0.06	0.18	9.84	0.47	3.78	0.16	0.14	0.52	0.04	2.21	0.02	3.12	0.25	0.08	0	0.01	5.47	0.16	0	0.13	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01
k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__[Weeksellaceae]	0.02	0.15	0	0.21	0	0.13	0.22	0	0.01	0	0.22	0.1	0	0.01	0	0.02	0	30.91	1.27	0.01	0.24	0.12	0.03	0	0.16	0.04	0	0.1	0.01	0.09	0.01	0	2.58	0	0	0.03	0.04	0.13	0.12	0.12	0	0.18	0	0.29	0	0.15	0	0	0.11	1.13	0.04	0	0.21	0.04	0.02	0	1.58	0.39	0.06	0	0.05	0.04	8.58	13.95	13.49	18.12	7.94	17	15.51	16.23	1.72	0.1	25.28	2.71	1.29	14.08	0.01
k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__Sphingobacteriaceae	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0.01	0	0.01	0	0	0	0	0.02	0.01	0.02	0	0.01	0	0.01	0	0	0	0	0	0.06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.13	0	0	0	0	0	0.01	0	0	0	0	0	0.06	0	0	0.03	0.01	0	0	0.02	0	0	0	0.02	0	0	0	0
k__Bacteria;p__Bacteroidetes;c__[Saprospirae];o__[Saprospirales];f__Chitinophagaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Chlorobi;c__Ignavibacteria;o__Ignavibacteriales;f__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08	0.1	0.18	0.14	0.02	0.05	0.22	0.11	0.01	0	0.06	0	0	0.06	0
k__Bacteria;p__Chloroflexi;c__Ellin6529;o__;f__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
