Feature.ID	AS-01	AS-02	AS-03	AS-04	AS-05	AS-06	AS-07	AS-08	AS-09	AS-10	AS-11	AS-12	AS-13	AS-14	AS-15	AS-16	AS-17	AS-18	AS-19	MI-01	MI-02	MI-03	MI-04	MI-05	MI-06	MI-07	MI-08	MI-09	MI-10	MI-11	MI-12	MI-13	MI-14	MI-15	MI-16	NE-01	NE-02	NE-03	NE-04	NE-05	NE-06	NE-07	NE-08	NE-09	NE-10	NE-11	NE-12	NE-13	NE-14	NE-15	NE-16	NE-17	NE-18	NE-19	NE-20	NE-21	NE-22	NE-23	NE-24	NE-25	NE-26	SE-01	SE-02	SE-03	SE-05	SE-06	SE-07	SE-09	SE-10	SE-11	SE-12	SE-13	SE-14	SE-16	SE-17	SE-18	SE-19
567382	0	0	0	0	0	0	0	0	0	0	0	0	2.23	0	0	0	0	0	0	3.11	1.7	2.93	3.38	0.36	2.7	2.11	3.55	2.72	2.37	2.89	0.06	0	0	1.43	1.57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
935846	0	0	0	0	0	0.2	0.19	1.49	3.99	7.97	4.91	0	0	0.87	2.98	8.56	1.72	0	0	0.5	0.13	0.1	0.06	0.05	0.29	0.14	0.05	0	0.11	0.11	0	0.01	0.83	0	0.08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2	0	0	0.13	7.96	0	0.01	0.02	0.81	0.07	0.21	0	0	0.14	0	0	0	0	0	0	0	0	0	0.11	0
10365	0	0	0	0	0	0	0	0	0	0.03	0.03	0	0.3	0	0.05	0.59	0.04	4.92	2.01	0.27	0.92	0.36	0.29	0.05	0.19	0.13	0.26	0.22	0.2	0.35	0	0	0.05	0.09	0.21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.46	0	0	0	0	0	3.34	0	0	0	0	0	0	3.28	13.98	4.77	3.65	2.67	0.9	0	1.76	2.2	0.33	8.66	0.56	0.66	7.97	0
203579	0	0	0	0	0	0	0	0	0	0	0.18	0	0.62	0	0	0	0.02	2.51	2.52	0.26	0.57	0.7	0.49	0.11	0.38	0.16	0.6	0.43	0.34	0.41	0	0	0	0.12	0.28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.42	0	0	0	0	0	0	0	0	0	0	0.03	0	3.73	1.08	6.82	2.16	2.63	6.67	9.75	3.47	1.04	0	2.69	0.1	0.22	4.81	0
925203	0	0	0	0	0	0	0.23	0	0	1.58	5.87	0	0.03	1.35	2.07	7.49	0.57	0.28	0	1.61	0.38	0.29	0	1.13	0.11	0.06	0.34	1.19	2.47	0	0	0.12	4.01	9.42	5.22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.66	0	0.26	0.02	0.09	3.98	0.92	6.72	0.49	0.73	0	0	0	0.42	0	0	0	0	0	0	0.48	0	0
1020931	2.27	0.64	1.8	0.51	1.62	1.73	0.24	0.56	0	0	0	0.85	0	0	0	0	0	0	0	0	0	0	0.01	0.08	0	0	0	0	0	0	0	0	0.05	0	0	4.5	0.63	1.2	1.95	3.27	1.31	3.34	2.46	1.04	1.02	1.75	1.36	0.87	0.1	0	0.47	1.32	3.17	1.13	3.84	6.11	0	0.93	0.74	0	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.24
4414258	0	0	0	0	0	0	0	0	0	0	0	0.12	1.09	0	0	0	0	0	0	0.91	1.24	1.35	1.23	0.13	1.11	0.4	1.28	2.07	1.02	1.61	0.13	0	0	0.42	0.83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
586458	1.87	3.75	3.6	1.96	1.47	7.58	3.02	2.14	0	0.1	1.31	2.61	0.03	0.68	0.1	0.36	0	0	0	0	0.01	0.03	0.08	0.06	0.08	0.77	0	0.09	0	0	0	0	0.15	0	0.01	0	1.76	3.44	0.47	0.84	1.25	0.6	1.75	0.67	1.15	0.96	0.57	1.99	2.92	0.71	2.38	4.16	0.59	0.16	1.56	0	0	0.12	0.28	0	0.56	0.1	0.65	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1023842	0	0	0	0	0	0	0	0	0	0	0.09	0	0.34	0	0	0	0.02	1.43	3.2	0.52	0.51	0.54	0.47	0.09	0.37	0.32	0.57	0.36	0.36	0.55	0	0	0	0.18	0.23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.11	0	0	0	0	0	0	0	0	0	0	0.07	0	2.82	3.26	4.62	3.65	1.55	3.64	1.89	3.94	0.77	0	2.9	0	0.32	3.66	0
765799	0	0	0	0	0	0	0	0	0	0	0.05	0	0.38	0	0	0	0	0	0	0.33	0.25	0.38	0.31	0	0.19	0.3	0.28	0.24	0.19	0.28	0	0	0	0.17	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38.37	0	0	0	0	0
