featureid	rab.all	rab.win.1.negative	rab.win.2.asymptomatic	diff.btw	diff.win	effect	overlap	we.ep	we.eBH	wi.ep	wi.eBH
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae	11.8675001696061	12.8622750497913	5.68071578024926	-7.20300280586374	6.32879602635656	-1.0361238557149	0.101430583187847	0.00103936938621652	0.00898177495458631	2.1056223975726e-05	0.000693224922920419
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae	-1.83977915474899	-2.02293720818659	-1.46975791455412	0.577149033321176	4.32176867746524	0.107249279206802	0.439531868205379	0.452028200007034	0.613927519873581	0.421990439419492	0.589053242651232
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Odoribacteraceae]	-1.77711835377543	-1.91043961018206	-1.4938984879427	0.215020163950237	4.67940750366155	0.0437172866665072	0.478543566098093	0.473110131743789	0.646632766441635	0.481721367661147	0.649778080784258
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Paraprevotellaceae]	9.66774332126884	10.357475632575	-0.199507463941561	-9.77185396145002	6.90622671995928	-1.22145288363522	0.156250092096676	0.000152002158455507	0.00235816691477612	0.000326370008660187	0.00297000447677958
k__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales;f__Cytophagaceae	-1.48907498854665	-1.69005397061407	-1.05575988454144	0.745774939494967	4.39571800959029	0.151473056263725	0.425781260722246	0.463275432902229	0.615591635970112	0.483770196612669	0.637386536861633
k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae	6.35539385761304	7.0808643471111	2.89476266780618	-3.72982936903346	5.87833600753489	-0.600334335141831	0.227568325080978	0.0197124139961185	0.0785226805490547	0.0136248891780225	0.0579455928527229
k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__[Weeksellaceae]	3.83091104539902	4.49029403692963	2.73935916424333	-1.34093539120651	6.55776870396792	-0.17030797092226	0.401820560553915	0.752418856733294	0.872699930456983	0.487423119529775	0.693193463830416
k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__Sphingobacteriaceae	-1.30299960458736	-1.67002195033903	-0.368961597260705	1.16232338614634	5.06630141909083	0.213429930512284	0.392717831192158	0.364251262005249	0.540079472568543	0.324573210975185	0.503386668679238
k__Bacteria;p__Bacteroidetes;c__[Saprospirae];o__[Saprospirales];f__Chitinophagaceae	-1.94231337418268	-2.07082678566368	-1.66228412956787	0.525913148859559	4.35381906371093	0.100814203641133	0.450520840393132	0.420675040395117	0.587346845133266	0.451537346726645	0.614479784243632
k__Bacteria;p__Chlorobi;c__Ignavibacteria;o__Ignavibacteriales;f__	-1.64137809001409	-1.92526437872453	-1.0740937649575	0.64505464123096	5.09564690622025	0.129086829278388	0.443433037983615	0.440745294791513	0.597900528953627	0.463763155478325	0.617091233223169
